Species;Taxonomy;Code
Schizosaccharomyces pombe;Ascomycota;Spomb
Saccharomyces cerevisiae;Ascomycota;Scere
Tuber melanosporum;Ascomycota;Tmela
Microbotryum intermedium;Basidiomycota;Minte
Testicularia cyperi;Basidiomycota;Tcype
Glomus cerebriforme;Mucoromycota;Gcere
Lobosporangium transversale;Mucoromycota;Ltran
Basidiobolus meristosporus;Zoopagomycota;Bmeri
Coemansia reversa;Zoopagomycota;Creve
Powellomyces hirtus;Chytridiomycota;Phirt
Spizellomyces punctatus;Chytridiomycota;Spunc
Allomyces macrogynus;Blastocladiomycota;Amacr
Catenaria anguillulae;Blastocladiomycota;Cangu
Acanthoeca spectabilis;Choanoflagellata;Aspec
Choanoeca flexa;Choanoflagellata;Cflex
Choanoeca perplexa;Choanoflagellata;Cperp
Codosida hollandica;Choanoflagellata;Choll
Diaphanoeca grandis;Choanoflagellata;Dgran
Didymoeca costata;Choanoflagellata;Dcost
Hartaetosiga gracilis;Choanoflagellata;Hgrac
Hartaetosiga balthica;Choanoflagellata;Hbalt
Helgoeca nana;Choanoflagellata;Hnana
Mylnosiga fluctuans;Choanoflagellata;Mfluc
Monosiga brevicollis;Choanoflagellata;Mbrev
Salpingoeca rosetta;Choanoflagellata;Srose
Salpingoeca dolichotechata;Choanoflagellata;Sdoli
Salpingoeca helianthica;Choanoflagellata;Sheli
Salpingoeca infusorum;Choanoflagellata;Sinfu
Salpingoeca macrocollata;Choanoflagellata;Smacr
Salpingoeca punica;Choanoflagellata;Spuni
Salpingoeca urceolata;Choanoflagellata;Surce
Savillea parva;Choanoflagellata;Sparv
Stephanoeca diplocostata;Choanoflagellata;Sdipl
Corallochytrium limacisporum;Corallochytrea;ClimH
Corallochytrium limacisporum;Corallochytrea;ClimI
Syssomonas multiformis;Corallochytrea;Smult
Abeoforma whisleri;Ichthyosporea;Awhis
Amoebidium parasiticum;Ichthyosporea;Apara
Creolimax fragrantissima;Ichthyosporea;Cfrag
Chromosfaera perkinsii;Ichthyosporea;Cperk
Ichthyophonus hoferi;Ichthyosporea;Ihofe
Pirum gemmata;Ichthyosporea;Pgemm
Sphaeroforma arctica;Ichthyosporea;Sarct
Sphaerotechum destruens;Ichthyosporea;Sdest
Capsaspora owczarzaki;Filasterea;Cowcz
Ministeria vibrans;Filasterea;Mvibr
Pigoraptor chileana;Filasterea;Pchil
Pigoraptor vietnamica;Filasterea;Pviet
Tunicaraptor unikontum;Filasterea;Tunik
Txikispora philomaios;Filasterea;Tphil
Amphimedon queenslandica;Porifera;Aquee
Spongilla lacustris;Porifera;Slacu
Ephydatia muelleri;Porifera;Emuel
Chondrilla nucula;Porifera;Cnucu
Chondrosia reniformis;Porifera;Creni
Ircinia fasciculata;Porifera;Ifasc
Tethya wilhelma;Porifera;Twilh
Petrosia ficiformis;Porifera;Pfici_tr
Petrosia ficiformis;Porifera;Pfici
Pseudospongosorites suberitoides;Porifera;Psube
Corticium candelabrum;Porifera;Ccand
Oscarella carmela;Porifera;Ocarm
Aphrocallistes vastus;Porifera;Avast
Oopsacas minuta;Porifera;Ominu
Leucosolenia complicata;Porifera;Lcomp
Sycon ciliatum;Porifera;Scili
Hormiphora californensis;Ctenophora;Hcali
Pleurobrachia bachei ;Ctenophora;Pbach
Pleurobrachia bachei ;Ctenophora;Pbach_tr
Mnemiopsis leidyi;Ctenophora;Mleid
Beroe abyssicola;Ctenophora;Babys
Beroe ovata;Ctenophora;Bovat
Bolinopsis ashleyi;Ctenophora;Bashl
Bolinopsis infundibulum;Ctenophora;Binfu
Bolinopsis microptera;Ctenophora;Bmicr
Coeloplana astericola;Ctenophora;Caste
Dryodora glandiformis;Ctenophora;Dglan
Euplokamis dunlapae;Ctenophora;Edunl
Pukia falcata;Ctenophora;Pfalc
Vallicula multiformis;Ctenophora;Vmult
Aurelia aurita;Cnidaria;Aauri
Rhopilema esculentum;Cnidaria;Rescu
Hydra magnipapillata;Cnidaria;Hmagn
Hydra vulgaris;Cnidaria;Hvulg
Clytia hemisphaerica;Cnidaria;Chemi
Nematostella vectensis;Cnidaria;Nvect
Pocillopora damicornis;Cnidaria;Pdami
Actinia tenebrosa;Cnidaria;Atene
Exaiptasia diaphana;Cnidaria;Ediap
Acropora digitifera;Cnidaria;Adigi
Stylophora pistillata;Cnidaria;Spist
Hydractinia symbiolongicarpus;Cnidaria;Hsymb
Hydractinia echinata;Cnidaria;Hechi
Morbakka virulenta;Cnidaria;Mviru
Hoilungia hongkongensis;Placozoa;Hhong
Trichoplax adhaerens;Placozoa;Tadha
Trichoplax sp.;Placozoa;Trich
Drosophila melanogaster;Arthropoda;Dmela
Apis mellifera;Arthropoda;Amell
Tribolium castaneum;Arthropoda;Tcast
Trinorchestia longiramus;Arthropoda;Tlong
Homarus americanus;Arthropoda;Hamer
Daphnia pulex;Arthropoda;Dpule
Galendromus occidentalis;Arthropoda;Gocci
Centruroides sculpturatus;Arthropoda;Cscul
Caenorhabditis elegans;Nematoda;Celeg
Trichinella spiralis;Nematoda;Tspir
Brugia malayi;Nematoda;Bmala
Priapulus caudatus;Priapulida;Pcaud
Ramazzottius varieornatus;Tardigrada;Rvari
Hypsibius dujardini;Tardigrada;Hduja
Hypsibius exemplaris;Tardigrada;Hexem
Crassostrea gigas;Mollusca;Cgiga
Lottia gigantea;Mollusca;Lgiga
Pinctada fucata;Mollusca;Pfuca
Capitella teleta;Annelida;Ctele
Helobdella robusta;Annelida;Hrobu
Owenia fusiformis;Annelida;Ofusi
Echinococcus granulosus;Platyhelminthes;Egran
Schistosoma mansoni;Platyhelminthes;Smans
Schmidtea mediterranea;Platyhelminthes;Smedi
Prostheceraeus crozieri;Platyhelminthes;Pcroz
Brachionus plicatilis;Rotifera;Bplic
Notospermus geniculatus;Nemertea;Ngeni
Bugula neritina;Bryozoa;Bneri
Phoronis australis;Phoronida;Paust
Lingula unguis;Brachiopoda;Lungu
Homo sapiens;Chordata;Hsapi
Mus musculus;Chordata;Mmusc
Gallus gallus;Chordata;Ggall
Danio rerio;Chordata;Dreri
Gasterosteus aculeatus;Chordata;Gacul
Xenopus tropicalis;Chordata;Xtrop
Branchiostoma floridae;Chordata;Bflor
Branchiostoma belcheri;Cephalochordata;Bbelc
Ciona intestinalis;Chordata;Cinte
Oikopleura dioica;Chordata;Odioi
Strongylocentrotus purpuratus;Echinodermata;Spurp
Stichopus japonicus;Echinodermata;Stjap
Acanthaster planci;Echinodermata;Aplan
Saccoglossus kowalevskii;Hemichordata;Skowa
Ptychodera flava;Hemichordata;Pflav
Childia submaculatum;Acoelomorpha;Csubm
Convolutriloba macropyga;Acoelomorpha;Cmacr
Diopisthoporus gymnopharyngeus;Acoelomorpha;Dgymn
Diopisthoporus longitubus;Acoelomorpha;Dlong
Eumecynostomum macrobursalium;Acoelomorpha;Emacr
Hofstenia miamia;Acoelomorpha;Hmiam
Hofstenia miamia;Acoelomorpha;Hmiam_tr
Isodiametra pulchra;Acoelomorpha;Ipulc
Isodiametra pulchra;Acoelomorpha;Ipulc_2
Praesagittifera naikaiensis;Acoelomorpha;Pnaik
Praesagittifera naikaiensis;Acoelomorpha;Pnaik_tr
Symsagittifera roscoffensis;Acoelomorpha;Srosc
Ascoparia sp.;Acoelomorpha;Ascop
Meara stichopi;Acoelomorpha;Mstic
Nemertoderma westbladi;Acoelomorpha;Nwest
Nemertoderma westbladi;Acoelomorpha;Nwest_tr
Sterreria sp.;Acoelomorpha;Sterr
Xenoturbella bocki;Xenoturbellida;Xbock
Xenoturbella bocki;Xenoturbellida;Xbock_tr
Xenoturbella profunda;Xenoturbellida;Xprof
