"Code","Gene","Header","Species","Taxonomy","Classification"
"Amell","LIM","Amell_A0A7M7MG02_LIM_homeobox_protein_Lhx5_isoform_X1","Apis mellifera","Arthropoda","Bilateria"
"Dmela","LIM","Dmela_Q9V472_DLim1","Drosophila melanogaster","Arthropoda","Bilateria"
"Amell","LIM","Amell_A0A7M7MW08_LIM_homeobox_protein_Lhx3_isoform_X1","Apis mellifera","Arthropoda","Bilateria"
"Dmela","LIM","Dmela_M9PD53_Lim3_isoform_G","Drosophila melanogaster","Arthropoda","Bilateria"
"Amell","LIM","Amell_A0A7M7LIB9_LIM_homeobox_transcription_factor_1_beta_isoform_X1","Apis mellifera","Arthropoda","Bilateria"
"Dmela","LIM","Dmela_Q9VTW3_FI06571p","Drosophila melanogaster","Arthropoda","Bilateria"
"Dmela","LIM","Dmela_Q9VTW5_LIM_homeobox_transcription_factor_1_alpha_isoform_B","Drosophila melanogaster","Arthropoda","Bilateria"
"Amell","LIM","Amell_A0A7M7FYJ1_LIM_homeobox_protein_Awh_isoform_X1","Apis mellifera","Arthropoda","Bilateria"
"Amell","LIM","Amell_A0A7M7GPI0_LIM_homeobox_protein_Awh","Apis mellifera","Arthropoda","Bilateria"
"Dmela","LIM","Dmela_Q8IRC7_LIM_homeobox_protein_Awh","Drosophila melanogaster","Arthropoda","Bilateria"
"Amell","LIM","Amell_A0A7M7M113_LIM_homeobox_protein_Lhx9","Apis mellifera","Arthropoda","Bilateria"
"Dmela","LIM","Dmela_P29673_Protein_apterous","Drosophila melanogaster","Arthropoda","Bilateria"
"Amell","LIM","Amell_A0A7M7LTJ6_Insulin_gene_enhancer_protein_ISL_1_isoform_X1","Apis mellifera","Arthropoda","Bilateria"
"Dmela","LIM","Dmela_Q9VJ37_Tailup_isoform_A","Drosophila melanogaster","Arthropoda","Bilateria"
"Amell","CERS","Amell_A0A7M7MX52_Ceramide_synthase_6","Apis mellifera","Arthropoda","Bilateria"
"Dmela","CERS","Dmela_Q9W423_LD18904p","Drosophila melanogaster","Arthropoda","Bilateria"
"Amell","POU","Amell_A0A7M7IV70_POU_domain_class_6_transcription_factor_1_isoform_X1","Apis mellifera","Arthropoda","Bilateria"
"Dmela","POU","Dmela_A0A0B4JD55_Pou_domain_motif_3_isoform_F","Drosophila melanogaster","Arthropoda","Bilateria"
